https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1640941200000,2021-12-31 09:00:00,BNB/USDT,525.920,528.000,523.590,524.470,46341.03,24367660.07750,36419
1640937600000,2021-12-31 08:00:00,BNB/USDT,513.310,527.830,511.910,525.960,126391.96,65930715.94599,68476
1640934000000,2021-12-31 07:00:00,BNB/USDT,515.600,516.050,509.210,513.310,43189.89,22108039.14190,29080
1640930400000,2021-12-31 06:00:00,BNB/USDT,515.360,517.180,514.010,515.600,20117.36,10374058.24230,17562
1640926800000,2021-12-31 05:00:00,BNB/USDT,515.330,516.600,514.560,515.360,19103.07,9851282.95070,19803
1640923200000,2021-12-31 04:00:00,BNB/USDT,513.680,516.230,513.400,515.340,22893.07,11790747.62000,22832
1640919600000,2021-12-31 03:00:00,BNB/USDT,510.740,514.490,509.590,513.630,31757.53,16259713.97560,19449
1640916000000,2021-12-31 02:00:00,BNB/USDT,514.640,514.750,510.110,510.750,30212.78,15453617.10930,20844
1640912400000,2021-12-31 01:00:00,BNB/USDT,517.400,517.990,506.250,514.610,98752.34,50540502.87395,62536
1640908800000,2021-12-31 00:00:00,BNB/USDT,518.400,520.650,515.730,517.390,26413.90,13689007.07290,20738
1640905200000,2021-12-30 23:00:00,BNB/USDT,517.460,518.890,516.010,518.410,23205.29,12010454.65440,17166
1640901600000,2021-12-30 22:00:00,BNB/USDT,518.570,519.010,514.770,517.460,21891.57,11323322.03980,18807
1640898000000,2021-12-30 21:00:00,BNB/USDT,517.530,519.220,515.310,518.610,22102.92,11442732.78360,17074
1640894400000,2021-12-30 20:00:00,BNB/USDT,519.880,521.400,515.250,517.520,29204.88,15130224.65300,22697
1640890800000,2021-12-30 19:00:00,BNB/USDT,522.480,522.670,519.320,519.890,19351.49,10084747.72500,15531
1640887200000,2021-12-30 18:00:00,BNB/USDT,521.950,522.840,519.380,522.490,24052.52,12529040.87190,18246
1640883600000,2021-12-30 17:00:00,BNB/USDT,522.870,523.920,521.370,521.940,25039.83,13085057.93080,16768
1640880000000,2021-12-30 16:00:00,BNB/USDT,518.500,523.210,518.300,522.870,32742.23,17047881.60690,20816
1640876400000,2021-12-30 15:00:00,BNB/USDT,521.340,522.550,518.040,518.490,25810.48,13443129.99730,17952
1640872800000,2021-12-30 14:00:00,BNB/USDT,521.210,522.230,518.500,521.340,37218.62,19372763.24880,27061
1640869200000,2021-12-30 13:00:00,BNB/USDT,525.780,526.240,521.030,521.220,36131.59,18922920.88330,28337
1640865600000,2021-12-30 12:00:00,BNB/USDT,524.490,527.590,522.780,525.780,49445.40,25989132.32560,32046
1640862000000,2021-12-30 11:00:00,BNB/USDT,520.840,525.390,519.680,524.550,41005.19,21433390.45000,29327
1640858400000,2021-12-30 10:00:00,BNB/USDT,518.210,521.130,517.520,520.850,23401.48,12154878.89240,20352
1640854800000,2021-12-30 09:00:00,BNB/USDT,517.840,520.570,517.400,518.180,24479.92,12705079.38120,21015
1640851200000,2021-12-30 08:00:00,BNB/USDT,520.150,523.500,517.280,517.780,38047.48,19801255.56810,30864
1640847600000,2021-12-30 07:00:00,BNB/USDT,517.450,521.810,516.720,520.150,33124.53,17211098.23849,25984
1640844000000,2021-12-30 06:00:00,BNB/USDT,515.590,518.200,514.750,517.460,24435.39,12624403.99980,20762
1640840400000,2021-12-30 05:00:00,BNB/USDT,515.800,517.000,513.510,515.600,20404.73,10511935.56240,18298
1640836800000,2021-12-30 04:00:00,BNB/USDT,514.080,518.230,513.880,515.810,21905.11,11320917.17640,18766
1640833200000,2021-12-30 03:00:00,BNB/USDT,514.200,516.380,512.380,514.080,24378.14,12546273.65880,17675
1640829600000,2021-12-30 02:00:00,BNB/USDT,514.380,515.220,511.780,514.160,26544.40,13627334.47040,19118
1640826000000,2021-12-30 01:00:00,BNB/USDT,516.050,516.460,512.240,514.390,26055.11,13400088.06460,21398
1640822400000,2021-12-30 00:00:00,BNB/USDT,514.490,518.250,508.000,516.020,74761.15,38367078.35499,48078
1640818800000,2021-12-29 23:00:00,BNB/USDT,519.940,521.000,510.090,514.490,90813.24,46673475.44586,56892
1640815200000,2021-12-29 22:00:00,BNB/USDT,519.100,522.330,516.830,519.950,26210.98,13621412.24040,19604
1640811600000,2021-12-29 21:00:00,BNB/USDT,521.140,521.580,517.100,519.090,37363.92,19397296.46790,26362
1640808000000,2021-12-29 20:00:00,BNB/USDT,520.490,524.700,519.810,521.140,27677.41,14452753.95890,22255
1640804400000,2021-12-29 19:00:00,BNB/USDT,523.470,524.500,519.770,520.490,24697.51,12891545.11949,25414
1640800800000,2021-12-29 18:00:00,BNB/USDT,523.130,525.620,522.550,523.500,21713.43,11378491.81960,20043
1640797200000,2021-12-29 17:00:00,BNB/USDT,526.780,526.890,522.600,523.130,21389.49,11220908.66370,19512
1640793600000,2021-12-29 16:00:00,BNB/USDT,529.490,529.920,525.010,526.840,25964.65,13685861.09950,21628
1640790000000,2021-12-29 15:00:00,BNB/USDT,529.280,531.200,527.100,529.490,32219.03,17040839.03730,26840
1640786400000,2021-12-29 14:00:00,BNB/USDT,526.830,530.700,524.130,529.260,52476.74,27690951.62642,44131
1640782800000,2021-12-29 13:00:00,BNB/USDT,527.450,529.240,518.340,526.850,90832.06,47554730.83219,65274
1640779200000,2021-12-29 12:00:00,BNB/USDT,536.770,537.140,527.000,527.450,79768.28,42329345.45142,51276
1640775600000,2021-12-29 11:00:00,BNB/USDT,537.020,537.840,534.640,536.770,19589.81,10504107.81520,20472
1640772000000,2021-12-29 10:00:00,BNB/USDT,538.340,539.170,535.930,537.000,21291.74,11445180.94640,19118
1640768400000,2021-12-29 09:00:00,BNB/USDT,537.410,539.920,533.530,538.340,38331.96,20572152.07560,27979
1640764800000,2021-12-29 08:00:00,BNB/USDT,535.820,538.800,535.540,537.410,20807.43,11175753.76080,19869
1640761200000,2021-12-29 07:00:00,BNB/USDT,536.130,537.420,534.400,535.810,19057.13,10211763.91410,15175
1640757600000,2021-12-29 06:00:00,BNB/USDT,535.600,537.650,534.910,536.130,16195.23,8689106.27570,13059
1640754000000,2021-12-29 05:00:00,BNB/USDT,536.660,538.200,534.690,535.600,16193.66,8684095.81630,19803
1640750400000,2021-12-29 04:00:00,BNB/USDT,538.750,539.840,536.510,536.650,14170.67,7623265.36050,12730
