https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1597510800000,2020-08-15 17:00:00,ADA/USDT,0.14043,0.14075,0.13954,0.13959,13882121,1946654.30179,5693
1597507200000,2020-08-15 16:00:00,ADA/USDT,0.14074,0.14214,0.14000,0.14038,40978334,5777257.31250,12812
1597503600000,2020-08-15 15:00:00,ADA/USDT,0.13876,0.14085,0.13857,0.14077,35215464,4919666.01096,12328
1597500000000,2020-08-15 14:00:00,ADA/USDT,0.13808,0.13900,0.13762,0.13875,15923464,2204637.42734,5148
1597496400000,2020-08-15 13:00:00,ADA/USDT,0.13765,0.13840,0.13755,0.13807,12454021,1718465.74840,4703
1597492800000,2020-08-15 12:00:00,ADA/USDT,0.13844,0.13925,0.13750,0.13763,17957785,2485379.01246,7441
1597489200000,2020-08-15 11:00:00,ADA/USDT,0.13743,0.13867,0.13733,0.13845,7649749,1057047.72054,4783
1597485600000,2020-08-15 10:00:00,ADA/USDT,0.13842,0.13869,0.13731,0.13742,7133632,984911.36423,4069
1597482000000,2020-08-15 09:00:00,ADA/USDT,0.13745,0.13842,0.13721,0.13832,9929472,1368783.96186,4683
1597478400000,2020-08-15 08:00:00,ADA/USDT,0.13855,0.13900,0.13660,0.13740,21448016,2956910.17001,7131
1597474800000,2020-08-15 07:00:00,ADA/USDT,0.13859,0.13876,0.13799,0.13853,7782086,1077145.21065,3535
1597471200000,2020-08-15 06:00:00,ADA/USDT,0.13904,0.13924,0.13855,0.13858,9498262,1318546.47872,3573
1597467600000,2020-08-15 05:00:00,ADA/USDT,0.13731,0.13911,0.13664,0.13895,18490629,2550924.66167,5495
1597464000000,2020-08-15 04:00:00,ADA/USDT,0.13776,0.13806,0.13636,0.13731,14447314,1981217.22411,5639
1597460400000,2020-08-15 03:00:00,ADA/USDT,0.13812,0.13836,0.13738,0.13775,10614695,1462781.98406,4514
1597456800000,2020-08-15 02:00:00,ADA/USDT,0.13885,0.13896,0.13730,0.13809,24774883,3417668.64834,6419
1597453200000,2020-08-15 01:00:00,ADA/USDT,0.13944,0.13987,0.13861,0.13885,16326802,2273905.36277,5177
1597449600000,2020-08-15 00:00:00,ADA/USDT,0.13850,0.13952,0.13828,0.13938,19367365,2689408.52035,6144
